Handle,Title,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Barcode,Image Src,Gift Card,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Status
dole-apple-juice,Dole Apple Juice,ZALL & SONS,"Food, Beverages & Tobacco > Beverages > Juice",Juice,"JUICE, US",FALSE,Size,15oz,PJZ3253S,11,3.99,'012000071751,,FALSE,,,lb,active
on-the-rocks-white-nigroni,On The Rocks White Nigroni,HORIZON,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Flavored Alcoholic Beverages",Flavored Alcoholic Beverages,"COCKTAIL, US",TRUE,Size,375ml,PFH3251S,11,12.99,'855880008451,https://cdn.shopify.com/s/files/1/0585/9541/0074/files/otrwn.png?v=1706234510,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/files/otrwn.png?v=1706234510,lb,active
on-the-rocks-sour-midori,On The Rocks Sour Midori,HORIZON,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Flavored Alcoholic Beverages",Flavored Alcoholic Beverages,"COCKTAIL, US",TRUE,Size,375ml,PFH3250S,12,12.99,'08068600456,https://cdn.shopify.com/s/files/1/0585/9541/0074/files/otrsm.webp?v=1706234426,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/files/otrsm.webp?v=1706234426,lb,active
high-noon-snow-bird-variety-pack,High Noon Snow Bird Variety Pack,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Flavored Alcoholic Beverages",Flavored Alcoholic Beverages,"HARD SELTZER, US, VODKA",TRUE,Size,8pk 12oz cans,PFM3246S,0,19.99,'085000036792,https://cdn.shopify.com/s/files/1/0585/9541/0074/files/hnsb.png?v=1705609773,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/files/hnsb.png?v=1705609773,lb,active
amarula-marula-fruit-cream-liqueur,Amarula with Marula Spirit Cream Liqueur,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Liqueurs",Liqueurs,"CORDINAL, IRELAND, LIQUEUR, SCHNAPPS",TRUE,Size,750ml,PLM3240S,0,27.99,'763878002483,https://cdn.shopify.com/s/files/1/0585/9541/0074/files/awms.png?v=1703610350,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/files/awms.png?v=1703610350,lb,active
copy-of-bunnahabhain-12-year-old-single-malt-scotch-whisky,Deanston Virgin Oak Single Malt Scotch Whisky,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"SCOTCH, SCOTLAND, WHISKY",TRUE,Size,750ml,PWM3239S,2,44.99,'5029704217755,https://cdn.shopify.com/s/files/1/0585/9541/0074/files/dstob.png?v=1703609562,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/files/dstob.png?v=1703609562,lb,active
bunnahabhain-12-year-old-single-malt-scotch-whisky,Bunnahabhain 12 Year Old Single Malt Scotch Whisky,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"SCOTCH, SCOTLAND, WHISKY",TRUE,Size,750ml,PWM3238S,2,74.99,'5029704217465,https://cdn.shopify.com/s/files/1/0585/9541/0074/files/b12.png?v=1703608929,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/files/b12.png?v=1703608929,lb,active
bunnahabhain-toiteach-a-dha-single-malt-scotch-whisky,Bunnahabhain Toiteach A Dha Single Malt Scotch Whisky,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"SCOTCH, SCOTLAND, WHISKY",TRUE,Size,750ml,PH3237S,2,79.99,'5029704219070,https://cdn.shopify.com/s/files/1/0585/9541/0074/files/btd.png?v=1703608823,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/files/btd.png?v=1703608823,lb,active
wonderful-pistachios-salted-roasted,Wonderful Pistachios Salted & Roasted,ZALL & SONS,"Food, Beverages & Tobacco > Beverages > Juice",Juice,NUTS,FALSE,Size,5oz,PJZ3236S,4,4.99,'014113910088,,FALSE,,,lb,active
copy-of-blue-diamond-roasted-salted-almond,Blue Diamond Whole Almonds,ZALL & SONS,"Food, Beverages & Tobacco > Beverages > Juice",Juice,NUTS,FALSE,Size,1.5oz,PJZ3235S,10,3.99,'041570051818,,FALSE,,,lb,active
